package,version,released,index,text
survival,3.2-7,2020-09-28,1,"Fix one URL, revealed by the CRAN submission."
survival,3.2-7,2020-09-28,2,"Column labels had been lost on the riskmat argument of coxph.detail, which broke the linERR package. Found in reverse dependency checks for CRAN."
survival,3.2-5,,1,Fix error in summary.coxph.penal; it was incorrectly copying se(concordance) to the new object.
survival,3.2-5,,2,Minor error in survfit.coxphms; it would fail if the model had an NA coefficient.
survival,3.2-5,,3,"Relax a check in concordance, to allow comparing two models with the same subjects but different response vector."
survival,3.2-5,,4,"If multiple strata() terms were first in a coxph model, the labels of the assign component would be incorrect, which affected labeling of cox.zph results (numeric values were correct, however)."
survival,3.2-5,,5,The riskmat option of the coxph.detail command now returns the matrix in data order rather than time-sorted order.
survival,3.2-5,,6,The summary.survfit function had overlooked the std.chaz component when subsetting based on the times argument.
survival,3.2-5,,7,"The documentation for print.survfit stated that rmean=""common"" would use the largest time across curves, the code had the median. Make code agree with the documentation. Pointed out by Qingxia Chen."
survival,3.2-5,,8,Add the rttright function (redistribute to the right) and the R^2 measure of Royston and Sauerbrei.
survival,3.2-5,,9,"Add residuals.survfit, which will be important for pseudo-values. Still incomplete."
survival,3.2-5,,10,"Better hardening of coxph against a particular kind of skewed variable, based on a test case from Michael Young. This had led to the ""This should never happen, please contact the author"" message."
survival,3.2-4,,1,Add na.omit to the output of survcheck.
survival,3.2-4,,2,"Undo an ifelse typo (added in 3.2-3) in survexpm that caused it to return NULL for an upper triangular rate matrix, breaking survfit for a multi-state coxph model. (Upper triangular has the simplest algorithm, and all the tests in the suite were for the more complex cases of course -- aargh.)"
survival,3.2-3,2020-06-13,1,Fix error in survfit.coxphms: an internal routine was being called with arguments in the wrong order.
survival,3.2-3,2020-06-13,2,"Add support routines for the derivative of a matrix exponential, needed for survival curve variance (post Cox model)."
survival,3.2-3,2020-06-13,3,"Add explicit error message to summary.survfit, when the times argument asks only for times beyond the end of a curve and extend=FALSE."
survival,3.2-3,2020-06-13,4,Clipping could be too tight in plot.survfit.
survival,3.2-2,,1,"Add support for ""timeline"" style survival data. I hope this will be a step forward in usability for multi-state models, since data sets can be built with standard data manipulation tools."
survival,3.2-2,,2,"Fix error in survfit.coxphms, the weight vector could be the wrong length when the start.time option was used."
survival,3.2-2,,3,"Formulas in a multistate coxph model can now have ""-x1"" to delete variable x1, in secondary formulas. (Update.formula is now used behind the scenes)."
survival,3.2-2,,4,Multistate coxph models now handle strata in full generality -- a stratum can apply to all transitions or just to some. One consequence is that the cmap element of the returned fit has been broken into two portions: stratum_map contains strata information and cmap the coefficient information.
survival,3.2-2,,5,"Revert (partially) a change to tmerge. Using tdc() to update a variable that already exists in the baseline data was a problem, so tdc had been changed to replace rather than update. Now allow updates to variables created by a prior tdc."
survival,3.2-2,,6,"Fix error in survfit, 0/1 status variable: the start.time option worked correctly only if the data set was sorted by time, which unfortunately was true of the test data in tests/survtest.R. Fix code and strengthen the test."
survival,3.2-2,,7,Multiple updates to multi-state coxph models + follow-on curves. A current clinical project is providing a stress test.
survival,3.1-12,2020-04-10,1,"Change the default for a robust variance: if there is a cluster argument, non-integer case weight, or an id statement and at least one id has more than one event."
survival,3.1-12,2020-04-10,2,cox.zph would fail if the coxph fit had NA coefficients (something that used to work). Add a test case to futureproof this. Caught by Ville Ponkilainen.
survival,3.1-12,2020-04-10,3,Minor: pyears + data.frame option would not preserve the order of factor levels from a tcut operator.
survival,3.1-12,2020-04-10,4,"Edge case from Andrea Jaensch: a coxph model with strata + psline terms, plus a (time1, time2) data set containing observations that do not overlap any events, in just the right spot, could cause an infinite loop in agmart3.c."
survival,3.1-12,2020-04-10,5,Add subset and na.action arguments to survcheck.
